epoch,train_acc,val_acc,test_acc
1,9.75,10.47,10.00
2,9.80,10.09,10.00
3,9.84,9.75,10.00
4,9.74,9.75,10.00
5,9.76,9.64,10.00
6,9.76,9.83,10.00
7,10.01,9.95,10.00
8,9.77,9.75,10.00
9,9.81,9.64,10.00
10,9.83,9.64,10.00
11,9.93,9.64,10.00
12,9.88,9.75,10.00
13,9.89,9.91,10.00
14,9.86,9.83,10.00
15,9.82,10.09,10.00
16,9.96,9.64,10.00
17,9.99,9.64,10.00
18,9.97,9.75,10.00
19,10.02,9.64,10.00
20,9.96,9.64,10.00
21,9.90,9.91,10.00
22,9.98,9.75,10.00
23,9.88,9.83,10.00
24,9.62,9.64,10.00
25,9.87,9.75,10.00
